0,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
Entry,0,6,0,1,9,1,6,1,2,1,0,2,1,0,0,0,3,0,0,10,0,1,0,0,1,1,0,0,0,0,0,0,0,7
head,0,133,1,20,38,12,29,0,12,6,41,168,0,2,255,162,81,0,11,76,1,3,0,0,0,0,0,0,0,0,0,0,0,1
shouler,0,0,1,1,1,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,0,9,1,1,10,15,7,0,1,0,1,7,0,0,46,7,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand,0,64,0,14,8,3,11,0,3,1,0,7,0,2,79,10,7,1,1,7,1,2,0,0,0,0,0,0,0,0,0,0,0,5
body,0,11,2,2,2,2,5,0,1,1,3,6,0,0,21,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"hip,leg,foot",0,30,1,8,4,4,8,4,10,4,5,25,3,2,55,9,20,0,2,29,0,6,0,0,0,0,0,1,0,0,0,0,0,10
bag,0,1,0,0,0,0,5,1,0,1,0,2,0,0,1,0,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
cup,0,11,1,2,4,2,4,1,15,2,2,9,0,0,25,12,15,0,1,22,0,0,0,0,0,0,1,0,0,0,0,0,0,5
earphone,0,0,0,0,2,0,6,0,5,2,2,6,0,0,33,2,12,0,2,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
glasses,0,24,0,1,3,0,3,0,3,2,0,14,0,2,16,7,6,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilephone,0,188,0,6,10,4,34,3,8,6,9,16,0,0,66,12,74,0,0,47,2,2,0,0,0,0,0,0,0,0,0,0,0,6
overcoat,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
pillow,0,3,0,0,2,0,5,0,0,0,0,1,0,1,3,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mouse,0,254,1,39,98,19,50,1,23,17,9,89,0,5,16,528,41,1,2,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,178,0,9,14,3,10,1,15,7,6,27,0,1,486,9,19,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,2
