Secondsurf,Head,Shoulder,Arm,Hand,Body,"Hip,leg,foot",Bag,Cup,Headphones,Glass,Mobilephone,Overcoat,Pillow,Mouse,Keyboard,Desktop,Drawer,Fence,Arm,Cushion,Seatback,Controller,Printer,Door,Window,Water dispenser,Tissue dispenser,Trash can,Cabinet,Desk beneath printer,Chair in front of printer
Head,0.161012902,0.005181344,0.020529908,0.056897092,0.026786615,0.070045938,0.006061197,0.010753728,0.009042924,0.018428004,0.105435175,0.002541795,0.002101863,0.07845345,0.219180757,0.162625981,0.001368657,0.002835079,0.026982124,0.002541795,0.00611008,0.000146642,0.002052991,0.000195523,4.88806E-05,0.000928733,0.00073321,4.88806E-05,0.000537687,0.000146642,0.000244403
Shoulder,0.204254939,0.06595738,0.042553187,0.025531892,0.108510967,0.129786961,0.012765996,0.012765996,0.017021295,0.010638297,0.040425488,0.008510637,0,0.042553187,0.057446783,0.127659962,0,0.004255319,0.044680887,0.008510637,0.025531892,0,0.004255319,0.002127659,0,0.002127659,0,0,0,0,0.002127659
Arm,0.194791837,0.009374992,0.029687475,0.068229143,0.076041636,0.117707901,0.007291664,0.01145829,0.004166667,0.016145786,0.060937449,0.007291664,0.001562499,0.104166913,0.103645913,0.126041894,0.003645827,0.003124997,0.042187465,0.003124997,0.003645827,0.000520833,0.003124997,0,0,0.000520833,0.000520833,0,0.001041669,0,0
Hand,0.198895263,0.003625695,0.020545627,0.139675185,0.028487638,0.119302158,0.011222415,0.009668523,0.007078739,0.011222415,0.042817757,0.002071823,0.001726522,0.084772212,0.086844015,0.146581194,0.007078739,0.004488956,0.044716959,0.006388128,0.013121517,0.000172652,0.003970995,0.000345304,0.000345304,0.000172652,0.001035911,0.000690609,0.000863261,0.001381222,0.000690609
Body,0.160067996,0.0116041,0.038566599,0.049146799,0.079180898,0.131740996,0.0109215,0.0153584,0.0133106,0.018429999,0.095221797,0.00682594,0.00273038,0.061092198,0.113992997,0.094539197,0.00273038,0.00375427,0.051877099,0.00375427,0.022525599,0,0.00443686,0.000341297,0,0.00341297,0.00238908,0.000341297,0.000341297,0.00102389,0.000341297
"Hip,leg,foot",0.129310015,0.004570001,0.020772702,0.060344807,0.037390904,0.080909809,0.016202702,0.017656802,0.015268002,0.013813902,0.113939013,0.00425841,0.00384296,0.060033207,0.129726015,0.159223018,0.007374321,0.005400911,0.070627308,0.015060202,0.021084302,0.000207727,0.004777731,0.0011425,0.000207727,0.00124636,0.00197341,0.000311591,0.00166182,0.0011425,0.000519319
Bag,0.055652889,0.005258549,0.005258549,0.037686192,0.015337397,0.073181385,0.177037964,0.034180493,0.019281296,0.014460997,0.123137975,0.016652097,0.003943909,0.034180493,0.055652889,0.184486963,0.013584597,0.004820329,0.053900089,0.005696759,0.052147189,0,0.004820329,0.00175285,0,0.00219106,0.00175285,0.000438212,0.00175285,0,0.00175285
Cup,0.083523513,0.003651301,0.008671841,0.036056606,0.026471904,0.083979913,0.028754005,0.105888017,0.013692402,0.013236002,0.094021015,0.005476951,0.00182565,0.102236016,0.072569611,0.151529024,0.003194891,0.00273848,0.06207211,0.003651301,0.026928304,0.000456413,0,0.000912825,0,0.06161571,0.004564131,0,0.00136924,0,0.000912825
Headphones,0.130944905,0.003257328,0.009120513,0.026058581,0.013029291,0.080781742,0.022149784,0.026710081,0.031921777,0.012377891,0.115960916,0.012377891,0.005863186,0.155048888,0.099674228,0.163517882,0.007166115,0.003908787,0.049511364,0.005863186,0.016938088,0,0.001302929,0.000651466,0,0.001302929,0.001302929,0.001302929,0.000651466,0.001302929,0
Glass,0.224941087,0.002352941,0.014117605,0.027764711,0.02541181,0.068705927,0.011764705,0.014117605,0.006588243,0.019294107,0.121412047,0.002352941,0.004705882,0.133647052,0.158588062,0.109647043,0.002823531,0.004705882,0.031529412,0.002823531,0.007529413,0,0.001882351,0.000470588,0,0.001411761,0.000470588,0,0,0.000470588,0.000470588
