"studentID" "ContactCount" "Freq"
"0" 0 7
"0" 1 5
"0" 2 4
"0" 4 1
"0" 5 1
"0" 6 2
"0" 8 2
"0" 19 1
"0" 56 1
"0" 62 1
"0" 63 1
"0" 94 1
"0" 98 1
"0" 103 1
"0" 119 1
"0" 120 1
"0" 122 1
"0" 126 1
"0" 130 1
"0" 136 1
"0" 139 1
"0" 146 1
"0" 148 1
"0" 164 1
"0" 196 1
"0" 212 1
"0" 226 1
"0" 247 1
"0" 268 1
"0" 282 1
"0" 310 1
"0" 316 1
"0" 435 1
"0" 499 1
"1" 1 1
"1" 4 3
"1" 7 1
"1" 8 1
"1" 13 1
"1" 18 1
"1" 37 1
"1" 67 1
"1" 75 1
"1" 106 1
"1" 133 1
"1" 178 1
"1" 359 1
"1" 485 1
"2" 0 2
"2" 1 1
"2" 2 3
"2" 3 1
"2" 5 1
"2" 7 2
"2" 15 3
"2" 19 1
"2" 23 1
"2" 24 1
"2" 31 1
"2" 44 1
"2" 46 1
"2" 47 1
"2" 53 1
"2" 56 2
"2" 57 1
"2" 58 1
"2" 67 1
"2" 71 1
"2" 79 1
"2" 81 1
"2" 169 1
"2" 192 1
"2" 193 1
"2" 205 1
"2" 254 1
"2" 292 1
"2" 436 1
"3" 0 9
"3" 1 3
"3" 2 1
"3" 3 1
"3" 4 1
"3" 6 3
"3" 8 2
"3" 10 3
"3" 12 2
"3" 14 1
"3" 16 1
"3" 17 1
"3" 24 1
"3" 25 1
"3" 26 2
"3" 29 1
"3" 31 2
"3" 34 2
"3" 36 1
"3" 40 1
"3" 48 2
"3" 58 1
"3" 66 1
"3" 74 1
"3" 77 1
"3" 79 1
"3" 82 1
"3" 85 1
"3" 86 1
"3" 95 1
"3" 103 1
"3" 105 1
"3" 112 1
"3" 155 1
"3" 160 1
"3" 169 1
"3" 170 1
"3" 187 1
"3" 191 1
"3" 212 1
"3" 237 1
"3" 239 1
"3" 321 1
"3" 339 1
"3" 690 1
"4" 1 1
"4" 3 1
"4" 7 2
"4" 12 1
"4" 14 1
"4" 26 1
"4" 31 1
"4" 39 1
"4" 41 1
"4" 47 1
"4" 55 1
"4" 74 1
"4" 130 1
"4" 206 1
"5" 0 1
"5" 3 1
"5" 9 1
"6" 0 2
"6" 1 2
"6" 3 3
"6" 16 1
"6" 18 2
"6" 20 1
"6" 39 1
"6" 49 1
"6" 62 1
"6" 200 1
"10" 1 1
"10" 2 1
"10" 3 1
"10" 4 1
"10" 5 1
"10" 6 1
"10" 7 1
"10" 8 1
"10" 16 1
"10" 24 2
"10" 30 1
"10" 60 2
"10" 137 1
"10" 378 1
"11" 0 3
"11" 9 1
"11" 25 2
"11" 28 2
"11" 37 1
"11" 81 1
"11" 98 1
"11" 104 1
"11" 116 1
"11" 155 1
"12" 1 1
"12" 7 1
"12" 14 1
"12" 15 1
"12" 68 1
"12" 89 1
"12" 123 1
"12" 167 1
"12" 235 1
"12" 370 1
"12" 406 1
"13" 1 1
"13" 2 2
"13" 4 1
"13" 5 1
"13" 6 2
"13" 12 1
"13" 15 1
"13" 24 1
"13" 45 1
"13" 47 1
"13" 88 1
"13" 301 1
"14" 5 1
"14" 6 1
"14" 11 1
"14" 13 1
"14" 16 1
"14" 23 1
"14" 25 1
"14" 45 1
"14" 50 1
"14" 69 1
"14" 95 1
"14" 109 1
"14" 114 1
"14" 115 1
"14" 116 1
"14" 154 1
"14" 175 1
"14" 225 1
"14" 231 1
"14" 362 1
"14" 409 1
"16" 0 3
"16" 2 1
"16" 3 1
"16" 4 1
"16" 8 1
"16" 9 2
"16" 10 1
"16" 26 1
"16" 27 1
"16" 30 1
"16" 31 1
"16" 48 1
"16" 59 1
"16" 65 1
"16" 70 1
"16" 75 1
"16" 76 1
"16" 85 1
"16" 87 1
"16" 175 1
"16" 208 1
"16" 231 1
"16" 248 1
"16" 291 1
"16" 294 1
"16" 417 1
"16" 424 1
"16" 499 1
"17" 0 2
"17" 1 5
"17" 2 5
"17" 3 3
"17" 5 1
"17" 6 2
"17" 7 1
"17" 9 1
"17" 11 1
"17" 49 1
"17" 52 1
"17" 61 2
"17" 68 1
"17" 74 1
"17" 88 1
"17" 90 1
"17" 100 1
"17" 124 1
"17" 169 1
"17" 184 1
"17" 202 1
"17" 233 1
"17" 273 1
"17" 286 1
"17" 333 1
"17" 340 1
"17" 583 1
"19" 0 1
"19" 1 1
"19" 3 1
"19" 6 1
"19" 13 1
"19" 47 1
"19" 54 1
"19" 71 1
"19" 72 1
"19" 77 1
"19" 89 1
"19" 112 1
"19" 151 1
"19" 158 1
"19" 386 1
"19" 408 1
"19" 409 1
"19" 444 1
"19" 572 1
"19" 611 2
"19" 677 1
"20" 6 1
"21" 0 2
"21" 3 1
"21" 4 1
"21" 6 1
"21" 20 2
"21" 23 1
"21" 28 1
"21" 38 1
"21" 60 1
"21" 83 1
"21" 98 1
"21" 107 1
"21" 157 1
"21" 168 1
"21" 180 1
"21" 312 1
"21" 318 1
"22" 0 1
"22" 2 2
"22" 3 1
"22" 4 3
"22" 7 1
"22" 8 1
"22" 9 1
"22" 13 1
"22" 14 1
"22" 20 1
"22" 21 1
"22" 28 1
"22" 32 1
"22" 41 2
"22" 43 1
"22" 45 1
"22" 47 2
"22" 50 1
"22" 51 1
"22" 60 1
"22" 69 1
"22" 82 2
"22" 96 1
"22" 122 1
"22" 126 1
"22" 136 1
"22" 171 1
"22" 176 1
"22" 207 1
"22" 236 1
"23" 0 2
